,fee,amount_sc,3D_secured,card_Diners,card_Master,card_Visa,country_Austria,country_Germany,country_Switzerland,PSP_Goldcard,PSP_Moneycard,PSP_Simplecard,PSP_UK_Card,success_max
0,2.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,0.5,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2,0.5,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3,2.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
4,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
5,3.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6,4.0,0.0016025641025641,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
7,2.0,0.0016025641025641,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8,1.0,0.0016025641025641,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
9,5.0,0.0016025641025641,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
10,2.0,0.0016025641025641,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
11,2.0,0.0016025641025641,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
12,1.0,0.0016025641025641,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
13,3.0,0.0032051282051282,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
14,2.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
15,1.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
16,5.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
17,5.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
18,2.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
19,2.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
20,1.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
21,1.0,0.0032051282051282,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
22,2.0,0.0048076923076923,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
23,4.0,0.0048076923076923,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
24,0.5,0.0048076923076923,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
25,1.0,0.0048076923076923,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26,5.0,0.0064102564102564,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
27,1.0,0.0064102564102564,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
28,5.0,0.0064102564102564,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29,1.0,0.0064102564102564,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
30,5.0,0.0064102564102564,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
31,1.0,0.0064102564102564,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
32,3.0,0.0064102564102564,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33,4.0,0.0064102564102564,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
34,4.0,0.0080128205128205,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
35,5.0,0.0080128205128205,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
36,3.0,0.0080128205128205,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
37,0.5,0.0080128205128205,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
38,1.0,0.0080128205128205,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
39,0.5,0.0080128205128205,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40,2.0,0.0080128205128205,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
41,1.0,0.0080128205128205,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
42,5.0,0.0080128205128205,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
43,3.0,0.0080128205128205,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
44,0.5,0.0080128205128205,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
45,4.0,0.0080128205128205,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
46,0.5,0.0096153846153846,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
47,5.0,0.0096153846153846,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
48,0.5,0.0096153846153846,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
49,3.0,0.0096153846153846,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
50,4.0,0.0112179487179487,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
51,4.0,0.0112179487179487,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
