,country,amount,3D_secured,card,country_Austria,country_Germany,country_Switzerland,card_Diners,card_Master,card_Visa,purchase,PSP,fee,success_max,transaction_count
0,Austria,6,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,4591,Moneycard,2.0,0,1
1,Austria,6,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,4591,Simplecard,0.5,0,1
2,Austria,6,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,18124,Simplecard,0.5,0,1
3,Austria,6,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,18124,UK_Card,2.0,0,2
4,Austria,6,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,12408,Simplecard,1.0,1,1
5,Austria,6,1,Master,1.0,0.0,0.0,0.0,1.0,0.0,21929,UK_Card,3.0,1,1
6,Austria,7,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,17069,UK_Card,4.0,1,2
7,Austria,7,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,11433,Moneycard,2.0,0,1
8,Austria,7,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,13017,UK_Card,1.0,0,1
9,Austria,7,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,27153,Goldcard,5.0,0,1
10,Austria,7,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,27153,Moneycard,2.0,0,1
11,Austria,7,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,27153,UK_Card,2.0,0,2
12,Austria,7,1,Diners,1.0,0.0,0.0,1.0,0.0,0.0,19909,Simplecard,1.0,1,1
13,Austria,8,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,11602,UK_Card,3.0,1,1
14,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,13872,Moneycard,2.0,0,1
15,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,13872,Simplecard,1.0,0,2
16,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,13872,UK_Card,5.0,0,5
17,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,22170,Moneycard,5.0,1,1
18,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,22170,UK_Card,2.0,0,2
19,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,26800,Moneycard,2.0,0,1
20,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,26800,Simplecard,1.0,1,1
21,Austria,8,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,26800,UK_Card,1.0,0,1
22,Austria,9,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,10465,Moneycard,2.0,0,1
23,Austria,9,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,10465,UK_Card,4.0,1,2
24,Austria,9,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,19984,Simplecard,0.5,0,1
25,Austria,9,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,19984,UK_Card,1.0,0,1
26,Austria,10,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,5299,Moneycard,5.0,1,1
27,Austria,10,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,14567,Simplecard,1.0,0,2
28,Austria,10,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,17240,UK_Card,5.0,1,3
29,Austria,10,1,Master,1.0,0.0,0.0,0.0,1.0,0.0,22693,Simplecard,1.0,0,2
30,Austria,10,1,Master,1.0,0.0,0.0,0.0,1.0,0.0,22693,UK_Card,5.0,0,5
31,Austria,10,1,Visa,1.0,0.0,0.0,0.0,0.0,1.0,2706,Simplecard,1.0,0,2
32,Austria,10,1,Visa,1.0,0.0,0.0,0.0,0.0,1.0,2706,UK_Card,3.0,1,1
33,Austria,10,1,Visa,1.0,0.0,0.0,0.0,0.0,1.0,4544,UK_Card,4.0,1,2
34,Austria,11,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,3368,UK_Card,4.0,1,2
35,Austria,11,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,14781,Goldcard,5.0,0,1
36,Austria,11,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,14781,UK_Card,3.0,1,1
37,Austria,11,0,Visa,1.0,0.0,0.0,0.0,0.0,1.0,1956,Simplecard,0.5,0,1
38,Austria,11,0,Visa,1.0,0.0,0.0,0.0,0.0,1.0,1956,UK_Card,1.0,0,1
39,Austria,11,0,Visa,1.0,0.0,0.0,0.0,0.0,1.0,16234,Simplecard,0.5,0,1
40,Austria,11,1,Diners,1.0,0.0,0.0,1.0,0.0,0.0,19742,Moneycard,2.0,0,1
41,Austria,11,1,Diners,1.0,0.0,0.0,1.0,0.0,0.0,19742,UK_Card,1.0,0,1
42,Austria,11,1,Master,1.0,0.0,0.0,0.0,1.0,0.0,4108,Moneycard,5.0,1,1
43,Austria,11,1,Master,1.0,0.0,0.0,0.0,1.0,0.0,4108,UK_Card,3.0,0,3
44,Austria,11,1,Visa,1.0,0.0,0.0,0.0,0.0,1.0,3634,Simplecard,0.5,0,1
45,Austria,11,1,Visa,1.0,0.0,0.0,0.0,0.0,1.0,3634,UK_Card,4.0,1,2
46,Austria,12,0,Diners,1.0,0.0,0.0,1.0,0.0,0.0,18499,Simplecard,0.5,0,1
47,Austria,12,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,8202,UK_Card,5.0,1,3
48,Austria,12,0,Master,1.0,0.0,0.0,0.0,1.0,0.0,19841,Simplecard,0.5,0,1
